sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
recon_GCA_051294715.1_916D_genomic	GCA_051294715.1_916D_genomic:AB342	1	5281	0.3677333838288203	ca874504dfb4787369bff35ea39179d8	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000143503	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCA_051294725.1_728D_genomic	GCA_051294725.1_728D_genomic:AC935	1	316340	0.38996016943794654	e6f3775bb419a872b880af5a070bf62a	-	-	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_ALIG01000010_00048	-	-	-	-	mobilizable	CP038010	0.0155619	Acinetobacter haemolyticus	AC935	AM305	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCA_051294725.1_728D_genomic	GCA_051294725.1_728D_genomic:AF709	1	16095	0.353215284249767	f42fd66442add312afa35dc84a6350a5	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	7.15897e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCA_051294725.1_728D_genomic	GCA_051294725.1_728D_genomic:AB342	1	5281	0.3677333838288203	7cacf9d222309d3cd82e05974696ba47	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	0.000215742	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCA_051294765.1_471CP_genomic	GCA_051294765.1_471CP_genomic:AF709	1	16095	0.35315315315315315	55595060c98245e3c4fc297df384ebae	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	9.55247e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCA_051294765.1_471CP_genomic	GCA_051294765.1_471CP_genomic:AB878	1	2726	0.37784299339691857	ed90fda969c1c6d33ab1f2cbd90f8cbf	rep_cluster_420	001756__CU459139_00001	-	-	-	-	-	-	non-mobilizable	CP021783	0.00105797	Acinetobacter baumannii	AB878	AK844	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCA_051294815.1_144D_genomic	GCA_051294815.1_144D_genomic:AF709	1	16095	0.353215284249767	19f42c14b6090222734576d4dc1a2626	rep_cluster_1906	001341__NC_013277_00009	MOBQ	NZ_AEOZ01000236_00020	MPF_T	NZ_AEOZ01000236_00018	-	-	conjugative	CP026339	4.76906e-05	Acinetobacter baumannii	AF709	AP699	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCA_051294815.1_144D_genomic	GCA_051294815.1_144D_genomic:AB342	1	5281	0.3677333838288203	87fc7629169d69a8aeb6fefb47e7ecda	-	-	MOBQ	CP028799_00003	-	-	-	-	mobilizable	CP026340	9.55247e-05	Acinetobacter baumannii	AB342	AK075	class	Gammaproteobacteria	class	Gammaproteobacteria	-	-	-
recon_GCF_001636235.1_ASM163623v1_genomic	GCF_001636235.1_ASM163623v1_genomic:AB082	1	80546	0.3418170983040747	e39a1facc55d211a3ffb9a9a05f7c3a4	rep_cluster_734	002211__NC_010606_00001	MOBF	NC_017163_00021	MPF_F	NC_017163_00053,NC_017163_00052,NZ_AEOY01000095_00077,NC_010606_00080,NC_010606_00079,NC_010606_00078,NC_010606_00075,NC_010606_00072,NC_010606_00071,NC_017163_00020,NC_010606_00076	-	-	conjugative	CP015366	0.0	Acinetobacter baumannii	AB082	AJ649	genus	Acinetobacter	genus	Acinetobacter	-	-	-
recon_GCF_001636235.1_ASM163623v1_genomic	GCF_001636235.1_ASM163623v1_genomic:AB825	1	13478	0.34018400356135925	040cf902b7fba237ef1fc5f960ff62d2	rep_cluster_1259,rep_cluster_1903	000571__CP015620_00012,001339__KY202458_00009	-	-	-	-	-	-	non-mobilizable	CP015365	0.0	Acinetobacter baumannii	AB825	AK772	genus	Acinetobacter	genus	Acinetobacter	-	-	-
